Retailer,Retailer ID,Date,Month,Region,State,Beverage Brand,Price per Unit,Units Sold
Sodapop,1185732,14-1-2022,01,Northeast,New York,Coca-Cola,$0.50 ,"12,000"
Sodapop,1185732,14-1-2022,01,Northeast,New York,Diet Coke,$0.50 ,"10,000"
Sodapop,1185732,14-1-2022,01,Northeast,New York,Sprite,$0.40 ,"10,000"
Sodapop,1185732,14-1-2022,01,Northeast,New York,Fanta,$0.45 ,"8,500"
Sodapop,1185732,14-1-2022,01,Northeast,New York,Powerade,$0.60 ,"9,000"
Sodapop,1185732,14-1-2022,01,Northeast,New York,Dasani Water,$0.50 ,"10,000"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Coca-Cola,$0.50 ,"12,500"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Diet Coke,$0.50 ,"9,000"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Sprite,$0.40 ,"9,500"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Fanta,$0.45 ,"8,250"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Powerade,$0.60 ,"9,000"
Sodapop,1185732,12-2-2022,01,Northeast,New York,Dasani Water,$0.50 ,"10,000"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Coca-Cola,$0.50 ,"12,200"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Diet Coke,$0.50 ,"9,250"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Sprite,$0.40 ,"9,500"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Fanta,$0.45 ,"8,000"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Powerade,$0.60 ,"8,500"
Sodapop,1185732,10-3-2022,01,Northeast,New York,Dasani Water,$0.50 ,"9,500"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Coca-Cola,$0.50 ,"12,000"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Diet Coke,$0.50 ,"9,000"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Sprite,$0.40 ,"9,000"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Fanta,$0.45 ,"8,250"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Powerade,$0.60 ,"8,250"
Sodapop,1185732,11-4-2022,01,Northeast,New York,Dasani Water,$0.50 ,"9,500"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Coca-Cola,$0.60 ,"12,200"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Diet Coke,$0.55 ,"9,250"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Sprite,$0.50 ,"9,000"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Fanta,$0.50 ,"8,500"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Powerade,$0.60 ,"8,750"
Sodapop,1185732,10-5-2022,01,Northeast,New York,Dasani Water,$0.65 ,"10,000"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Coca-Cola,$0.60 ,"12,500"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Diet Coke,$0.55 ,"10,000"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Sprite,$0.50 ,"9,250"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Fanta,$0.50 ,"9,000"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Powerade,$0.60 ,"9,000"
Sodapop,1185732,12-6-2022,01,Northeast,New York,Dasani Water,$0.65 ,"10,500"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Coca-Cola,$0.60 ,"12,750"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Diet Coke,$0.55 ,"10,250"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Sprite,$0.50 ,"9,500"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Fanta,$0.50 ,"9,000"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Powerade,$0.60 ,"9,250"
Sodapop,1185732,10-7-2022,01,Northeast,New York,Dasani Water,$0.65 ,"11,000"
